order,criterion,success
"(0, 0, 1)",1138.1083041923716,True
"(0, 0, 2)",1035.6461604308442,True
"(0, 0, 3)",994.7157022321989,True
"(0, 1, 1)",837.597235413865,True
"(0, 1, 2)",842.3998303923413,True
"(0, 1, 3)",847.1675586200563,True
"(0, 2, 1)",837.8247734806613,True
"(0, 2, 2)",842.8653360217925,True
"(0, 2, 3)",847.5848280370562,True
"(1, 0, 0)",849.1995613451785,True
"(1, 0, 1)",854.151719398583,True
"(1, 0, 2)",859.0898529431241,True
"(1, 0, 3)",863.9842204844997,True
"(1, 1, 0)",837.6003194291376,True
"(1, 1, 1)",842.3366918144789,True
"(1, 1, 2)",847.715482983395,True
"(1, 1, 3)",851.5990674890735,True
"(1, 2, 0)",900.7038759632582,True
"(1, 2, 1)",842.866894463049,True
"(1, 2, 2)",847.4439326507754,True
"(1, 2, 3)",852.8921506314891,True
"(2, 0, 0)",854.1593609670657,True
"(2, 0, 1)",859.2103912632411,True
"(2, 0, 2)",864.2597366361522,True
"(2, 0, 3)",868.4287711410606,True
"(2, 1, 0)",842.355434128006,True
"(2, 1, 1)",847.0033933025022,True
"(2, 1, 2)",849.4425439634753,True
"(2, 1, 3)",853.838177453797,True
"(2, 2, 0)",888.1571660299471,True
"(2, 2, 1)",847.5397164728166,True
"(2, 2, 2)",852.4989631212038,True
"(2, 2, 3)",854.3933022233123,True
"(3, 0, 0)",859.0558763940405,True
"(3, 0, 1)",864.2824063142779,True
"(3, 0, 2)",866.5900534989806,True
"(3, 0, 3)",870.5682948130386,True
"(3, 1, 0)",847.2343324999574,True
"(3, 1, 1)",851.8512354162693,True
"(3, 1, 2)",853.8526309406104,True
"(3, 1, 3)",858.5362514266876,True
"(3, 2, 0)",877.1057384719423,True
"(3, 2, 1)",852.3308678641425,True
"(3, 2, 2)",856.9437616346461,True
"(3, 2, 3)",859.6440312225992,True
